#txt_path		texture id											
[BACKGROUND]
Scene1/mapping.txt	30												
[OBJECTS]
#type	gridx	gridy	x	y	w	h	nx	type	item_id																
#SIMON													
0	0	0	32	129	0	0	1	0	0				
#brick													
1	0	0	-16	0	16	162	0	0	0				
1	0	0	0	160	256	16	0	0	0				
1	0	1	256	160	256	16	0	0	0				
1	0	2	512	160	256	16	0	0	0				
#Fire-pillar													
2	0	0	88	128	0	0	0	1	2				
2	0	0	216	128	0	0	0	1	3				
2	0	1	344	128	0	0	0	1	3				
2	0	1	472	128	0	0	0	1	2				
2	0	2	600	128	0	0	0	1	4				
#portal													
50	0	2	688	130	16	32	0	2	0	30	144	1	0
