#txt_path		texture id											
[BACKGROUND]
Scene3/mapping.txt	50												
[OBJECTS]
#object	grid_y	grid_x	x	y	w	h	nx	type	item_id				
#brick													
1	0	1	448	112	32	16	0	0	0				
1	0	1	480	0	32	192	0	0	0				
1	0	1	368	80	80	16	0	0	0				
1	0	1	352	96	32	64	0	0	0				
1	0	1	320	144	32	16	0	0	0				
1	0	1	288	112	32	16	0	0	0				
1	0	0	192	80	96	16	0	0	0				
1	0	0	96	80	64	16	0	0	0				
1	0	0	128	96	32	96	0	0	0				
1	0	0	64	112	32	16	0	0	0				
1	0	0	16	80	16	16	0	0	0				
1	0	0	0	0	16	32	0	0	0				
1	0	0	0	80	16	112	0	0	0				
#platform													
7	0	0	33	80	32	63	1	0	0				
#candles													
2	0	1	460	16	0	0	0	0	1				
2	0	1	396	16	0	0	0	0	1				
2	0	1	332	16	0	0	0	0	1
2	0	1	352	80	0	0	0	2	13				
2	0	0	268	16	0	0	0	0	1				
2	0	0	204	16	0	0	0	0	1				
2	0	0	140	16	0	0	0	0	11				
2	0	0	76	16	0	0	0	0	1				
#stairs													
3	0	1	452	66	0	0	1	0	0				
#enemies													
5	0	1	324	112	318	330	-1	0	0				
6	0	1	296	24	0	0	1	0	0				
#portal													
50	0	1	380	180	16	16	0	2	0	112	0	-1	70
50	0	0	0	32	16	48	0	4	0	688	126	-1	0
