#txt_path		texture id											
[BACKGROUND]
Scene4/mapping.txt	60												
[OBJECTS]
#type	gridx	gridy	x	y	w	h	nx	type	item_id				
#brick													
1	0	0	16	0	16	162	0	0	0				
1	0	0	32	128	32	16	0	0	0				
1	0	0	64	160	64	16	0	0	0				
1	0	0	96	96	96	16	0	0	0				
1	0	1	304	128	16	16	0	0	0				
1	0	1	416	128	32	16	0	0	0				
1	0	0	0	176	256	16	0	0	0				
1	0	2	736	0	16	112	0	0	0				
1	0	2	752	112	16	48	0	0	0				
1	0	1	256	176	256	16	0	0	0				
1	0	2	512	176	256	16	0	0	0				
1	0	2	672	160	96	16	0	0	0				
#Fire-pillar													
2	0	0	92	128	0	0	0	0	1				
2	0	0	156	64	0	0	0	0	2				
2	0	0	220	144	0	0	0	0	1				
2	0	1	284	144	0	0	0	0	1				
2	0	1	288	128	0	0	0	2	15				
2	0	1	348	144	0	0	0	0	1				
2	0	1	412	144	0	0	0	0	1				
2	0	1	476	144	0	0	0	0	1				
2	0	2	540	144	0	0	0	0	7				
2	0	2	604	144	0	0	0	0	1				
2	0	2	668	144	0	0	0	0	1				
2	0	2	732	128	0	0	0	0	11				
#stairs													
4	0	0	152	95	0	0	-1	0	0				
#enemies													
9	0	2	640	150	550	0	-1	0	0				
10	0	1	424	111.5	0	0	1	0	0				
10	0	1	296	111.5	0	0	1	0	0				
10	0	0	168	79.5	0	0	1	0	0				
12	0	0	32	95.9	0	0	1	0	0				
#portal													
50	0	0	72	0	15	16	0	5	0	72	152	-1	70
