#txt_path		texture id							
[BACKGROUND]
Scene6/mapping.txt	80
[OBJECTS]
#object	grid_x	grid_y	x	y	w	h	nx	type	item_id
#brick									
1	0	0	0	80	112	16	0	0	0
1	0	0	0	176	256	16	0	0	0
1	0	0	128	112	176	16	0	0	0
1	0	1	256	176	256	16	0	0	0
1	0	2	512	176	256	16	0	0	0
1	0	2	760	0	8	176	0	0	0
1	0	2	672	144	16	16	0	0	0
1	0	2	720	112	48	16	0	0	0
#firepillar									
2	0	0	28	112	0	0	0	0	2
2	0	0	92	48	0	0	0	0	1
2	0	0	156	80	0	0	0	0	1
2	0	0	220	48	0	0	0	0	12
2	0	1	284	144	0	0	0	0	1
2	0	1	348	112	0	0	0	0	4
2	0	1	412	144	0	0	0	0	1
2	0	1	476	144	0	0	0	0	1
2	0	2	540	112	0	0	0	0	2
2	0	2	604	144	0	0	0	0	1
2	0	2	668	112	0	0	0	0	1
2	0	2	732	112	0	0	0	0	2
2	0	2	688	144	0	0	0	2	13
#stairs									
3	0	0	104	34	0	0	-1	0	0
4	0	0	136	111	0	0	-1	0	0
3	0	1	296	66	0	0	-1	0	0
4	0	1	360	175	0	0	-1	0	0
3	0	2	712	66	0	0	1	0	0
4	0	2	680	143	0	0	1	0	0
#enemies									
8	0	0	200	79	0	0	-1	0	0
8	0	0	240	79	0	0	-1	0	0
13	0	2	550	32	0	0	1	0	0
